cause,effect,custom_id
companies and corporations,fossil fuel extraction,request-1-0-0
fossil fuel extraction,co2 emissions,request-1-0-1
co2 emissions,global warming,request-1-0-2
global warming,the climate,request-1-0-3
companies and corporations,deforestation,request-1-1-0
deforestation,reduced carbon absorption,request-1-1-1
reduced carbon absorption,increased atmospheric co2,request-1-1-2
increased atmospheric co2,the climate,request-1-1-3
companies and corporations,industrial processes,request-1-2-0
industrial processes,greenhouse gas emissions,request-1-2-1
greenhouse gas emissions,enhanced greenhouse effect,request-1-2-2
enhanced greenhouse effect,the climate,request-1-2-3
companies and corporations,energy consumption,request-1-3-0
energy consumption,fossil fuel combustion,request-1-3-1
fossil fuel combustion,greenhouse gas emissions,request-1-3-2
greenhouse gas emissions,the climate,request-1-3-3
companies and corporations,agricultural practices,request-1-4-0
agricultural practices,methane emissions,request-1-4-1
methane emissions,enhanced greenhouse effect,request-1-4-2
enhanced greenhouse effect,the climate,request-1-4-3
companies and corporations,industrial waste,request-1-5-0
industrial waste,ocean pollution,request-1-5-1
ocean pollution,disruption of marine life,request-1-5-2
disruption of marine life,the climate,request-1-5-3
companies and corporations,aerosol emissions,request-1-6-0
aerosol emissions,atmospheric aerosol concentration,request-1-6-1
atmospheric aerosol concentration,altered cloud formation,request-1-6-2
altered cloud formation,the climate,request-1-6-3
companies and corporations,land use changes,request-1-7-0
land use changes,decreased albedo,request-1-7-1
decreased albedo,increased heat absorption,request-1-7-2
increased heat absorption,the climate,request-1-7-3
companies and corporations,black carbon emissions,request-1-8-0
black carbon emissions,atmospheric warming,request-1-8-1
atmospheric warming,global temperature rise,request-1-8-2
global temperature rise,the climate,request-1-8-3
companies and corporations,refrigerant leakage,request-1-9-0
refrigerant leakage,release of hfcs,request-1-9-1
release of hfcs,potent greenhouse gas emissions,request-1-9-2
potent greenhouse gas emissions,the climate,request-1-9-3
buying from companies that mess the climate,increasing revenue of climatedamaging companies,request-2-0-0
increasing revenue of climatedamaging companies,financial sustainability of climatedamaging companies,request-2-0-1
financial sustainability of climatedamaging companies,continuation of climatedamaging operations,request-2-0-2
continuation of climatedamaging operations,keeping of climatedamaging companies,request-2-0-3
buying from companies that mess the climate,reinforcing harmful business practices,request-2-1-0
reinforcing harmful business practices,lack of incentive to adopt green technologies,request-2-1-1
lack of incentive to adopt green technologies,persistence of environmental damage,request-2-1-2
persistence of environmental damage,keeping of climatedamaging companies,request-2-1-3
buying from companies that mess the climate,boosting demand for climatedamaging products,request-2-2-0
boosting demand for climatedamaging products,expansion of harmful industries,request-2-2-1
expansion of harmful industries,greater environmental impact,request-2-2-2
greater environmental impact,keeping of climatedamaging companies,request-2-2-3
buying from companies that mess the climate,supporting the market presence of harmful companies,request-2-3-0
supporting the market presence of harmful companies,hindering growth of ecofriendly alternatives,request-2-3-1
hindering growth of ecofriendly alternatives,dominance of climatedamaging companies,request-2-3-2
dominance of climatedamaging companies,keeping of climatedamaging companies,request-2-3-3
