cause,effect,custom_id
companies and corporations,fossil fuel extraction and burning,request-1-0-0
fossil fuel extraction and burning,greenhouse gas emissions,request-1-0-1
greenhouse gas emissions,global warming,request-1-0-2
global warming,the climate,request-1-0-3
companies and corporations,deforestation and land clearing,request-1-1-0
deforestation and land clearing,loss of carbon sequestration,request-1-1-1
loss of carbon sequestration,increased atmospheric co2,request-1-1-2
increased atmospheric co2,the climate,request-1-1-3
companies and corporations,industrial agriculture practices,request-1-2-0
industrial agriculture practices,methane and n2o emissions,request-1-2-1
methane and n2o emissions,enhanced greenhouse effect,request-1-2-2
enhanced greenhouse effect,the climate,request-1-2-3
companies and corporations,production and use of plastics,request-1-3-0
production and use of plastics,plastic waste and pollution,request-1-3-1
plastic waste and pollution,microplastic ingestion by marine life,request-1-3-2
microplastic ingestion by marine life,disruption of ocean ecosystems,request-1-3-3
disruption of ocean ecosystems,the climate,request-1-3-4
companies and corporations,transportation and logistics,request-1-4-0
transportation and logistics,fossil fuel combustion,request-1-4-1
fossil fuel combustion,air pollution,request-1-4-2
air pollution,respiratory problems,request-1-4-3
respiratory problems,increased energy consumption for healthcare,request-1-4-4
increased energy consumption for healthcare,the climate,request-1-4-5
companies and corporations,resource extraction and mining,request-1-5-0
resource extraction and mining,environmental degradation,request-1-5-1
environmental degradation,disruption of natural habitats,request-1-5-2
disruption of natural habitats,loss of biodiversity,request-1-5-3
loss of biodiversity,the climate,request-1-5-4
companies and corporations,supply chain management,request-1-6-0
supply chain management,unsustainable sourcing practices,request-1-6-1
unsustainable sourcing practices,deforestation and habitat destruction,request-1-6-2
deforestation and habitat destruction,disruption of ecosystem services,request-1-6-3
disruption of ecosystem services,the climate,request-1-6-4
buying from companies that mess the climate,supporting companies that mess the climate,request-2-0-0
supporting companies that mess the climate,encouraging companies to continue polluting,request-2-0-1
encouraging companies to continue polluting,keeping of climatedamaging companies,request-2-0-2
buying from companies that mess the climate,increasing demand for climateharming products,request-2-1-0
increasing demand for climateharming products,boosting profits of climateharming companies,request-2-1-1
boosting profits of climateharming companies,keeping of climatedamaging companies,request-2-1-2
buying from companies that mess the climate,funding climateharming business practices,request-2-2-0
funding climateharming business practices,perpetuating climate damage through financial support,request-2-2-1
perpetuating climate damage through financial support,keeping of climatedamaging companies,request-2-2-2
buying from companies that mess the climate,legitimizing climateharming corporate behavior,request-2-3-0
legitimizing climateharming corporate behavior,reducing pressure to adopt sustainable practices,request-2-3-1
