cause,effect,custom_id
companies emit greenhouse gases,greenhouse gases accumulate in the atmosphere,request-1-0-0
greenhouse gases accumulate in the atmosphere,enhanced greenhouse effect,request-1-0-1
enhanced greenhouse effect,the climate is altered,request-1-0-2
corporations engage in deforestation,reduced carbon sequestration,request-1-1-0
reduced carbon sequestration,increased atmospheric co₂ levels,request-1-1-1
increased atmospheric co₂ levels,the climate is affected,request-1-1-2
companies industrialize production processes,increased energy consumption,request-1-2-0
increased energy consumption,higher fossil fuel usage,request-1-2-1
higher fossil fuel usage,the climate changes,request-1-2-2
corporations produce industrial waste,pollution enters ecosystems,request-1-3-0
pollution enters ecosystems,disruption of natural carbon cycles,request-1-3-1
disruption of natural carbon cycles,the climate is impacted,request-1-3-2
companies develop and promote automobiles,increased vehicle emissions,request-1-4-0
increased vehicle emissions,rise in air pollutants,request-1-4-1
rise in air pollutants,the climate is influenced,request-1-4-2
buying from companies that mess the climate,increased revenue for these companies,request-2-0-0
increased revenue for these companies,expansion of their market presence,request-2-0-1
expansion of their market presence,greater influence over industry standards,request-2-0-2
greater influence over industry standards,maintenance and growth of climatedamaging practices,request-2-0-3
maintenance and growth of climatedamaging practices,keeping of climatedamaging companies,request-2-0-4
buying from companies that mess the climate,higher sales volumes,request-2-1-0
higher sales volumes,increased profitability,request-2-1-1
increased profitability,allocation of funds to harmful projects,request-2-1-2
allocation of funds to harmful projects,continuation of environmentally detrimental operations,request-2-1-3
continuation of environmentally detrimental operations,keeping of climatedamaging companies,request-2-1-4
buying from companies that mess the climate,consumer preference for lowcost products,request-2-2-0
consumer preference for lowcost products,limited investment in sustainable alternatives,request-2-2-1
limited investment in sustainable alternatives,persistence of unsustainable business models,request-2-2-2
persistence of unsustainable business models,ongoing environmental harm,request-2-2-3
ongoing environmental harm,keeping of climatedamaging companies,request-2-2-4
buying from companies that mess the climate,enhanced financial stability for these companies,request-2-3-0
enhanced financial stability for these companies,ability to resist regulatory changes,request-2-3-1
ability to resist regulatory changes,sustained climateunfriendly policies,request-2-3-2
sustained climateunfriendly policies,endurance of harmful business practices,request-2-3-3
endurance of harmful business practices,keeping of climatedamaging companies,request-2-3-4
buying from companies that mess the climate,market dominance of climatedamaging companies,request-2-4-0
market dominance of climatedamaging companies,reduced competition from sustainable businesses,request-2-4-1
reduced competition from sustainable businesses,lack of innovation in green technologies,request-2-4-2
lack of innovation in green technologies,continued reliance on harmful methods,request-2-4-3
continued reliance on harmful methods,keeping of climatedamaging companies,request-2-4-4
systemic change,policy reform,request-3-0-0
policy reform,renewable energy adoption,request-3-0-1
renewable energy adoption,progress in climate change,request-3-0-2
systemic change,economic incentives,request-3-1-0
economic incentives,emission reductions,request-3-1-1
emission reductions,progress in climate change,request-3-1-2
systemic change,educational initiatives,request-3-2-0
educational initiatives,public awareness,request-3-2-1
public awareness,sustainable behavior,request-3-2-2
sustainable behavior,progress in climate change,request-3-2-3
systemic change,technological innovation,request-3-3-0
technological innovation,energy efficiency improvements,request-3-3-1
energy efficiency improvements,progress in climate change,request-3-3-2
systemic change,legislative action,request-3-4-0
legislative action,carbon pricing,request-3-4-1
carbon pricing,progress in climate change,request-3-4-2
systemic change,infrastructure development,request-3-5-0
infrastructure development,green transportation systems,request-3-5-1
green transportation systems,progress in climate change,request-3-5-2
systemic change,international cooperation,request-3-6-0
international cooperation,global climate agreements,request-3-6-1
global climate agreements,progress in climate change,request-3-6-2
systemic change,corporate responsibility,request-3-7-0
corporate responsibility,green business practices,request-3-7-1
green business practices,progress in climate change,request-3-7-2
ultra wealthy people,increased consumption of luxury goods,request-4-0-0
increased consumption of luxury goods,higher production demands,request-4-0-1
higher production demands,increased manufacturing emissions,request-4-0-2
increased manufacturing emissions,more carbon footprint,request-4-0-3
ultra wealthy people,ownership of private jets,request-4-1-0
ownership of private jets,frequent air travel,request-4-1-1
frequent air travel,higher aviation emissions,request-4-1-2
higher aviation emissions,more carbon footprint,request-4-1-3
ultra wealthy people,investment in large estates,request-4-2-0
investment in large estates,high energy usage for maintenance,request-4-2-1
high energy usage for maintenance,increased residential energy consumption,request-4-2-2
increased residential energy consumption,more carbon footprint,request-4-2-3
ultra wealthy people,funding of energyintensive industries,request-4-3-0
funding of energyintensive industries,expansion of industrial activities,request-4-3-1
expansion of industrial activities,higher industrial emissions,request-4-3-2
higher industrial emissions,more carbon footprint,request-4-3-3
ultra wealthy people,ownership of multiple properties,request-4-4-0
ownership of multiple properties,increased heating and cooling needs,request-4-4-1
increased heating and cooling needs,greater energy consumption,request-4-4-2
