cause,effect,custom_id
companies and corporations emit greenhouse gases through their operations and products,"greenhouse gases trap heat in the atmosphere, contributing to global warming",request-1-0-0
"greenhouse gases trap heat in the atmosphere, contributing to global warming",global warming,request-1-0-1
companies and corporations engage in deforestation for resources like timber and palm oil,deforestation reduces the number of trees available to absorb carbon dioxide from the atmosphere,request-1-1-0
deforestation reduces the number of trees available to absorb carbon dioxide from the atmosphere,increased carbon dioxide levels contribute to global warming and climate change,request-1-1-1
companies and corporations use energy from fossil fuels for their operations,burning fossil fuels releases carbon dioxide and other greenhouse gases into the atmosphere,request-1-2-0
burning fossil fuels releases carbon dioxide and other greenhouse gases into the atmosphere,increased greenhouse gas emissions contribute to global warming and climate change,request-1-2-1
"companies and corporations produce and consume resources at a high rate, contributing to resource depletion",resource depletion can lead to conflicts and instability in regions where resources are extracted,request-1-3-0
resource depletion can lead to conflicts and instability in regions where resources are extracted,instability can disrupt local ecosystems and contribute to climate change through activities like deforestation and agriculture,request-1-3-1
"companies and corporations invest in infrastructure projects, often prioritizing economic growth over environmental concerns","infrastructure projects can lead to habitat destruction and fragmentation, disrupting local ecosystems",request-1-4-0
"infrastructure projects can lead to habitat destruction and fragmentation, disrupting local ecosystems",ecosystem disruption can alter local climate patterns and contribute to broader climate change,request-1-4-1
companies and corporations engage in lobbying and political influence to maintain favorable regulations,favorable regulations can hinder the implementation of policies that would reduce greenhouse gas emissions,request-1-5-0
favorable regulations can hinder the implementation of policies that would reduce greenhouse gas emissions,"without effective policies, greenhouse gas emissions continue to rise, contributing to climate change",request-1-5-1
buying from companies that mess the climate,contributes to the economic success of these companies,request-2-0-0
contributes to the economic success of these companies,encourages these companies to continue their harmful practices,request-2-0-1
encourages these companies to continue their harmful practices,leads to increased greenhouse gas emissions,request-2-0-2
leads to increased greenhouse gas emissions,accelerates climate change,request-2-0-3
accelerates climate change,results in the need for companies to adopt more sustainable practices,request-2-0-4
results in the need for companies to adopt more sustainable practices,keeps climatedamaging companies in business,request-2-0-5
buying from companies that mess the climate,supports the continuation of their business model,request-2-1-0
supports the continuation of their business model,enables these companies to lobby against climate regulations,request-2-1-1
enables these companies to lobby against climate regulations,weakens climate policies,request-2-1-2
weakens climate policies,reduces the pressure on companies to change their practices,request-2-1-3
reduces the pressure on companies to change their practices,keeps climatedamaging companies in business,request-2-1-4
buying from companies that mess the climate,provides financial resources for these companies,request-2-2-0
provides financial resources for these companies,allows these companies to invest in new projects or technologies,request-2-2-1
allows these companies to invest in new projects or technologies,some projects may be aimed at improving sustainability,request-2-2-2
some projects may be aimed at improving sustainability,"however, others may be focused on further exploiting resources",request-2-2-3
"however, others may be focused on further exploiting resources",keeps climatedamaging companies in business,request-2-2-4
systemic change,increased awareness and education on climate change,request-3-0-0
increased awareness and education on climate change,growing public demand for climate action,request-3-0-1
growing public demand for climate action,governments implementing stricter climate policies,request-3-0-2
governments implementing stricter climate policies,increased investment in renewable energy and green technologies,request-3-0-3
increased investment in renewable energy and green technologies,reduction in greenhouse gas emissions,request-3-0-4
reduction in greenhouse gas emissions,slowing down of global warming,request-3-0-5
slowing down of global warming,progress in climate change,request-3-0-6
systemic change,shift in economic priorities towards sustainability,request-3-1-0
shift in economic priorities towards sustainability,incentives for businesses to adopt greener practices,request-3-1-1
incentives for businesses to adopt greener practices,increased adoption of sustainable business models,request-3-1-2
increased adoption of sustainable business models,reduction in industrial emissions,request-3-1-3
reduction in industrial emissions,slowing down of global warming,request-3-1-4
slowing down of global warming,progress in climate change,request-3-1-5
systemic change,innovation in climate solutions,request-3-2-0
innovation in climate solutions,development of carbon capture and storage technologies,request-3-2-1
development of carbon capture and storage technologies,implementation of carbon capture projects,request-3-2-2
implementation of carbon capture projects,reduction in emissions from heavy industries,request-3-2-3
reduction in emissions from heavy industries,slowing down of global warming,request-3-2-4
slowing down of global warming,progress in climate change,request-3-2-5
systemic change,changes in dietary habits and agriculture practices,request-3-3-0
changes in dietary habits and agriculture practices,reduction in emissions from the agricultural sector,request-3-3-1
reduction in emissions from the agricultural sector,increased reforestation and afforestation efforts,request-3-3-2
increased reforestation and afforestation efforts,increased carbon sequestration,request-3-3-3
increased carbon sequestration,slowing down of global warming,request-3-3-4
slowing down of global warming,progress in climate change,request-3-3-5
systemic change,international cooperation on climate action,request-3-4-0
international cooperation on climate action,stronger global climate agreements,request-3-4-1
stronger global climate agreements,increased global commitment to climate goals,request-3-4-2
increased global commitment to climate goals,collective reduction in global greenhouse gas emissions,request-3-4-3
collective reduction in global greenhouse gas emissions,slowing down of global warming,request-3-4-4
slowing down of global warming,progress in climate change,request-3-4-5
ultra wealthy people,consume more resources,request-4-0-0
consume more resources,increased demand for goods and services,request-4-0-1
increased demand for goods and services,higher production and consumption,request-4-0-2
higher production and consumption,more carbon emissions,request-4-0-3
