cause,effect,custom_id
companies and corporations,industrial activities,request-1-0-0
industrial activities,greenhouse gas emissions,request-1-0-1
greenhouse gas emissions,increased atmospheric carbon dioxide levels,request-1-0-2
increased atmospheric carbon dioxide levels,global warming,request-1-0-3
global warming,changes in the climate,request-1-0-4
companies and corporations,deforestation activities,request-1-1-0
deforestation activities,reduced carbon absorption,request-1-1-1
reduced carbon absorption,increased greenhouse gas accumulation,request-1-1-2
increased greenhouse gas accumulation,global warming,request-1-1-3
global warming,changes in the climate,request-1-1-4
companies and corporations,fossil fuel extraction and usage,request-1-2-0
fossil fuel extraction and usage,burning of fossil fuels,request-1-2-1
burning of fossil fuels,greenhouse gas emissions,request-1-2-2
greenhouse gas emissions,global warming,request-1-2-3
global warming,changes in the climate,request-1-2-4
companies and corporations,production and transportation activities,request-1-3-0
production and transportation activities,air pollution,request-1-3-1
air pollution,atmospheric chemical changes,request-1-3-2
atmospheric chemical changes,climate disturbances,request-1-3-3
climate disturbances,changes in the climate,request-1-3-4
companies and corporations,overproduction of consumer goods,request-1-4-0
overproduction of consumer goods,energyintensive manufacturing processes,request-1-4-1
energyintensive manufacturing processes,greenhouse gas emissions,request-1-4-2
greenhouse gas emissions,global warming,request-1-4-3
global warming,changes in the climate,request-1-4-4
companies and corporations,excessive waste generation,request-1-5-0
excessive waste generation,methane emissions from waste decomposition,request-1-5-1
methane emissions from waste decomposition,increased greenhouse gas levels,request-1-5-2
increased greenhouse gas levels,global warming,request-1-5-3
global warming,changes in the climate,request-1-5-4
companies and corporations,transportation and logistics,request-1-6-0
transportation and logistics,increased emissions from vehicles,request-1-6-1
increased emissions from vehicles,air pollution,request-1-6-2
air pollution,global warming,request-1-6-3
global warming,changes in the climate,request-1-6-4
companies and corporations,reliance on nonrenewable energy sources,request-1-7-0
reliance on nonrenewable energy sources,increased greenhouse gas emissions,request-1-7-1
increased greenhouse gas emissions,global warming,request-1-7-2
global warming,changes in the climate,request-1-7-3
companies and corporations,water pollution,request-1-8-0
water pollution,disruption of ecosystems,request-1-8-1
disruption of ecosystems,reduced carbon sequestration,request-1-8-2
reduced carbon sequestration,increased greenhouse gas levels,request-1-8-3
increased greenhouse gas levels,changes in the climate,request-1-8-4
buying from companies that mess the climate,providing revenue to climatedamaging companies,request-2-0-0
providing revenue to climatedamaging companies,enabling operations of climatedamaging companies,request-2-0-1
enabling operations of climatedamaging companies,sustaining climatedamaging companies,request-2-0-2
sustaining climatedamaging companies,keeping of climatedamaging companies,request-2-0-3
buying from companies that mess the climate,increasing demand for climatedamaging companies' products,request-2-1-0
increasing demand for climatedamaging companies' products,encouraging production by climatedamaging companies,request-2-1-1
encouraging production by climatedamaging companies,strengthening climatedamaging companies,request-2-1-2
strengthening climatedamaging companies,keeping of climatedamaging companies,request-2-1-3
buying from companies that mess the climate,normalizing purchases from climatedamaging companies,request-2-2-0
normalizing purchases from climatedamaging companies,reducing pressure on climatedamaging companies to change,request-2-2-1
reducing pressure on climatedamaging companies to change,allowing climatedamaging companies to continue harmful practices,request-2-2-2
allowing climatedamaging companies to continue harmful practices,keeping of climatedamaging companies,request-2-2-3
buying from companies that mess the climate,supporting business models of climatedamaging companies,request-2-3-0
supporting business models of climatedamaging companies,discouraging transitions to sustainable practices,request-2-3-1
discouraging transitions to sustainable practices,perpetuating harmful practices by climatedamaging companies,request-2-3-2
perpetuating harmful practices by climatedamaging companies,keeping of climatedamaging companies,request-2-3-3
systemic change,policy reform,request-3-0-0
policy reform,reduced carbon emissions,request-3-0-1
reduced carbon emissions,decrease in global warming,request-3-0-2
decrease in global warming,improved environmental conditions,request-3-0-3
improved environmental conditions,progress in climate change,request-3-0-4
systemic change,technological innovation,request-3-1-0
technological innovation,development of renewable energy,request-3-1-1
development of renewable energy,reduced dependence on fossil fuels,request-3-1-2
reduced dependence on fossil fuels,decrease in global warming,request-3-1-3
decrease in global warming,progress in climate change,request-3-1-4
systemic change,public awareness campaigns,request-3-2-0
public awareness campaigns,changes in individual behavior,request-3-2-1
changes in individual behavior,lower energy consumption,request-3-2-2
lower energy consumption,reduced carbon emissions,request-3-2-3
reduced carbon emissions,progress in climate change,request-3-2-4
systemic change,shifts in economic priorities,request-3-3-0
shifts in economic priorities,increased investment in green infrastructure,request-3-3-1
increased investment in green infrastructure,enhanced renewable energy adoption,request-3-3-2
enhanced renewable energy adoption,reduced greenhouse gas emissions,request-3-3-3
reduced greenhouse gas emissions,progress in climate change,request-3-3-4
systemic change,international cooperation,request-3-4-0
international cooperation,implementation of global climate agreements,request-3-4-1
implementation of global climate agreements,coordinated reduction in emissions,request-3-4-2
coordinated reduction in emissions,mitigation of climaterelated risks,request-3-4-3
mitigation of climaterelated risks,progress in climate change,request-3-4-4
systemic change,financial incentives for sustainability,request-3-5-0
financial incentives for sustainability,transition to ecofriendly industries,request-3-5-1
transition to ecofriendly industries,reduction in industrial pollution,request-3-5-2
reduction in industrial pollution,decreased environmental degradation,request-3-5-3
decreased environmental degradation,progress in climate change,request-3-5-4
ultra wealthy people,high disposable income,request-4-0-0
high disposable income,frequent luxury consumption,request-4-0-1
frequent luxury consumption,increased production of luxury goods,request-4-0-2
increased production of luxury goods,higher energy consumption and resource use,request-4-0-3
higher energy consumption and resource use,more carbon footprint,request-4-0-4
ultra wealthy people,ownership of multiple properties,request-4-1-0
ownership of multiple properties,high energy use for maintenance and operation,request-4-1-1
high energy use for maintenance and operation,increased carbon emissions from energy consumption,request-4-1-2
increased carbon emissions from energy consumption,more carbon footprint,request-4-1-3
ultra wealthy people,frequent use of private jets,request-4-2-0
frequent use of private jets,high fossil fuel consumption,request-4-2-1
high fossil fuel consumption,increased greenhouse gas emissions,request-4-2-2
increased greenhouse gas emissions,more carbon footprint,request-4-2-3
ultra wealthy people,purchase of luxury vehicles,request-4-3-0
purchase of luxury vehicles,higher fuel consumption,request-4-3-1
higher fuel consumption,increased greenhouse gas emissions,request-4-3-2
increased greenhouse gas emissions,more carbon footprint,request-4-3-3
ultra wealthy people,demand for resourceintensive products,request-4-4-0
demand for resourceintensive products,increased industrial production,request-4-4-1
increased industrial production,higher energy usage and emissions from factories,request-4-4-2
higher energy usage and emissions from factories,more carbon footprint,request-4-4-3
ultra wealthy people,indulging in exclusive highenergy activities,request-4-5-0
indulging in exclusive highenergy activities,excessive fuel burning,request-4-5-1
excessive fuel burning,increased greenhouse gas emissions,request-4-5-2
increased greenhouse gas emissions,more carbon footprint,request-4-5-3
ultra wealthy people,influence on setting consumer trends,request-4-6-0
influence on setting consumer trends,popularization of resourceintensive lifestyles,request-4-6-1
popularization of resourceintensive lifestyles,increased demand for highemission goods and services,request-4-6-2
increased demand for highemission goods and services,more carbon footprint,request-4-6-3
ultra wealthy people,investments in highemission industries,request-4-7-0
investments in highemission industries,funding of fossil fuelbased infrastructure,request-4-7-1
funding of fossil fuelbased infrastructure,perpetuation of high carbon emitting systems,request-4-7-2
perpetuation of high carbon emitting systems,more carbon footprint,request-4-7-3
porks craddling into pools that often break loose,the pools breaking loose,request-5-0-0
the pools breaking loose,the release of contaminants into the surrounding environment,request-5-0-1
the release of contaminants into the surrounding environment,the contamination of water bodies and soil,request-5-0-2
the contamination of water bodies and soil,the disruption of ecosystems,request-5-0-3
the disruption of ecosystems,massive environmental damage,request-5-0-4
porks craddling into pools that often break loose,the pools breaking loose,request-5-1-0
the pools breaking loose,flooding from the pools spreading waste,request-5-1-1
flooding from the pools spreading waste,high levels of toxins affecting nearby habitats,request-5-1-2
high levels of toxins affecting nearby habitats,the death of plant and animal species,request-5-1-3
the death of plant and animal species,massive environmental damage,request-5-1-4
porks craddling into pools that often break loose,the pools breaking loose,request-5-2-0
the pools breaking loose,harmful waste entering rivers and streams,request-5-2-1
harmful waste entering rivers and streams,pollution reaching agricultural lands,request-5-2-2
pollution reaching agricultural lands,reduced soil fertility and poisoning of food crops,request-5-2-3
reduced soil fertility and poisoning of food crops,massive environmental damage,request-5-2-4
porks craddling into pools that often break loose,the pools breaking loose,request-5-3-0
the pools breaking loose,the spread of pathogens and bacteria into natural water systems,request-5-3-1
the spread of pathogens and bacteria into natural water systems,waterborne diseases affecting wildlife and humans,request-5-3-2
waterborne diseases affecting wildlife and humans,the collapse of ecosystems,request-5-3-3
the collapse of ecosystems,massive environmental damage,request-5-3-4
having fewer children,lower population growth,request-6-0-0
lower population growth,reduced demand for resources,request-6-0-1
reduced demand for resources,lower energy consumption,request-6-0-2
lower energy consumption,reduced greenhouse gas emissions,request-6-0-3
reduced greenhouse gas emissions,lower carbon footprint,request-6-0-4
having fewer children,lower population growth,request-6-1-0
lower population growth,reduced urban expansion,request-6-1-1
reduced urban expansion,preservation of natural ecosystems,request-6-1-2
preservation of natural ecosystems,increased carbon absorption,request-6-1-3
increased carbon absorption,lower carbon footprint,request-6-1-4
having fewer children,lower population growth,request-6-2-0
lower population growth,reduced transportation needs,request-6-2-1
reduced transportation needs,reduced fuel consumption,request-6-2-2
reduced fuel consumption,lower greenhouse gas emissions,request-6-2-3
lower greenhouse gas emissions,lower carbon footprint,request-6-2-4
having fewer children,lower household energy usage,request-6-3-0
lower household energy usage,reduced electricity demand,request-6-3-1
reduced electricity demand,lower dependence on fossil fuels,request-6-3-2
lower dependence on fossil fuels,reduced greenhouse gas emissions,request-6-3-3
reduced greenhouse gas emissions,lower carbon footprint,request-6-3-4
having fewer children,reduced consumption of goods,request-6-4-0
reduced consumption of goods,lower industrial production,request-6-4-1
lower industrial production,lower greenhouse gas emissions,request-6-4-2
lower greenhouse gas emissions,lower carbon footprint,request-6-4-3
having fewer children,reduced waste generation,request-6-5-0
reduced waste generation,lower methane emissions from landfills,request-6-5-1
