cause,effect,custom_id
companies and corporations,greenhouse gas emissions,request-1-0-0
greenhouse gas emissions,climate change,request-1-0-1
companies and corporations,deforestation,request-1-1-0
deforestation,loss of carbon sinks,request-1-1-1
loss of carbon sinks,climate change,request-1-1-2
companies and corporations,industrial agriculture,request-1-2-0
industrial agriculture,methane emissions,request-1-2-1
methane emissions,climate change,request-1-2-2
companies and corporations,singleuse plastic production,request-1-3-0
singleuse plastic production,fossil fuel extraction,request-1-3-1
fossil fuel extraction,co₂ emissions,request-1-3-2
co₂ emissions,climate change,request-1-3-3
companies and corporations,global shipping,request-1-4-0
global shipping,fossil fuel combustion,request-1-4-1
fossil fuel combustion,atmospheric co₂ increase,request-1-4-2
atmospheric co₂ increase,climate change,request-1-4-3
companies and corporations,lobbying against climate policies,request-1-5-0
lobbying against climate policies,delayed renewable energy transition,request-1-5-1
delayed renewable energy transition,continued fossil fuel dependence,request-1-5-2
continued fossil fuel dependence,climate change,request-1-5-3
companies and corporations,fast fashion industry,request-1-6-0
fast fashion industry,increased resource extraction,request-1-6-1
increased resource extraction,higher emissions,request-1-6-2
higher emissions,climate change,request-1-6-3
companies and corporations,fossil fuel investments,request-1-7-0
fossil fuel investments,fracking and drilling,request-1-7-1
fracking and drilling,methane leaks,request-1-7-2
methane leaks,climate change,request-1-7-3
companies and corporations,nonbiodegradable waste,request-1-8-0
nonbiodegradable waste,landfill expansion,request-1-8-1
landfill expansion,methane emissions,request-1-8-2
methane emissions,climate change,request-1-8-3
companies and corporations,promotion of highenergy lifestyles,request-1-9-0
promotion of highenergy lifestyles,increased energy demand,request-1-9-1
increased energy demand,fossil fuel power generation,request-1-9-2
fossil fuel power generation,climate change,request-1-9-3
buying from companies that mess the climate,financial support to climatedamaging companies,request-2-0-0
financial support to climatedamaging companies,continued operation of climateharmful businesses,request-2-0-1
continued operation of climateharmful businesses,market dominance of unsustainable practices,request-2-0-2
market dominance of unsustainable practices,lack of transition to renewable energy sources,request-2-0-3
lack of transition to renewable energy sources,keeping of climatedamaging companies,request-2-0-4
buying from companies that mess the climate,consumer validation of unsustainable products,request-2-1-0
consumer validation of unsustainable products,legitimization of harmful industrial activities,request-2-1-1
legitimization of harmful industrial activities,absence of divestment pressure,request-2-1-2
absence of divestment pressure,corporate perpetuation of emissionsintensive practices,request-2-1-3
corporate perpetuation of emissionsintensive practices,keeping of climatedamaging companies,request-2-1-4
buying from companies that mess the climate,profitdriven corporate lobbying,request-2-2-0
profitdriven corporate lobbying,weak or absent environmental regulations,request-2-2-1
weak or absent environmental regulations,unchecked carbon emissions,request-2-2-2
unchecked carbon emissions,industry reliance on fossil fuel infrastructure,request-2-2-3
industry reliance on fossil fuel infrastructure,keeping of climatedamaging companies,request-2-2-4
buying from companies that mess the climate,economic dependence on fossil fuel industries,request-2-3-0
economic dependence on fossil fuel industries,delayed investment in green technologies,request-2-3-1
delayed investment in green technologies,competitive advantage of polluting firms,request-2-3-2
competitive advantage of polluting firms,market entrenchment of highemission actors,request-2-3-3
market entrenchment of highemission actors,keeping of climatedamaging companies,request-2-3-4
buying from companies that mess the climate,enhanced reputation of unsustainable companies,request-2-4-0
enhanced reputation of unsustainable companies,undermined efforts to stigmatize fossil fuel industries,request-2-4-1
undermined efforts to stigmatize fossil fuel industries,normalization of environmental harm,request-2-4-2
normalization of environmental harm,societal tolerance for climate inaction,request-2-4-3
societal tolerance for climate inaction,keeping of climatedamaging companies,request-2-4-4
buying from companies that mess the climate,shareholder prioritization of shortterm profits,request-2-5-0
