cause,effect,custom_id
cities' burden on distal resource suppliers,distal resource suppliers face increased demand,request-1-0-0
distal resource suppliers face increased demand,distal resource suppliers increase extraction of resources,request-1-0-1
distal resource suppliers increase extraction of resources,resource extraction,request-1-0-2
resource extraction,environmental degradation affects air and water quality,request-1-0-3
environmental degradation affects air and water quality,degraded air and water quality lead to health problems in cities,request-1-0-4
degraded air and water quality lead to health problems in cities,health problems contribute to environmental deficits in cities,request-1-0-5
health problems contribute to environmental deficits in cities,environmental deficits in cities result from the burden on distal resource suppliers,request-1-0-6
business expansion,industrial production,request-2-0-0
industrial production,emission of greenhouse gases,request-2-0-1
emission of greenhouse gases,increase in carbon dioxide levels,request-2-0-2
increase in carbon dioxide levels,global warming,request-2-0-3
global warming,climate change>,request-2-0-4
corporate investments,construction activities,request-2-1-0
construction activities,deforestation,request-2-1-1
deforestation,release of stored carbon,request-2-1-2
release of stored carbon,greenhouse gas accumulation,request-2-1-3
greenhouse gas accumulation,global warming,request-2-1-4
global warming,climate change>,request-2-1-5
manufacturing processes,energy consumption,request-2-2-0
energy consumption,burning of fossil fuels,request-2-2-1
burning of fossil fuels,emission of greenhouse gases,request-2-2-2
emission of greenhouse gases,global warming,request-2-2-3
global warming,climate change>,request-2-2-4
urban development,increased transportation needs,request-2-3-0
increased transportation needs,more vehicles on the road,request-2-3-1
more vehicles on the road,emission of greenhouse gases,request-2-3-2
emission of greenhouse gases,global warming,request-2-3-3
global warming,climate change>,request-2-3-4
agricultural practices,use of synthetic fertilizers,request-2-4-0
use of synthetic fertilizers,release of nitrous oxide,request-2-4-1
release of nitrous oxide,greenhouse gas accumulation,request-2-4-2
greenhouse gas accumulation,global warming,request-2-4-3
global warming,climate change>,request-2-4-4
energy sector growth,fossil fuel extraction,request-2-5-0
fossil fuel extraction,carbon dioxide emissions,request-2-5-1
carbon dioxide emissions,greenhouse gas accumulation,request-2-5-2
greenhouse gas accumulation,global warming,request-2-5-3
global warming,climate change>,request-2-5-4
business expansion,deforestation for land development,request-3-0-0
deforestation for land development,habitat destruction,request-3-0-1
habitat destruction,species displacement,request-3-0-2
species displacement,reduced biodiversity,request-3-0-3
reduced biodiversity,loss of biodiversity,request-3-0-4
business pollution,water contamination,request-3-1-0
water contamination,harm to aquatic life,request-3-1-1
harm to aquatic life,disruption of food chains,request-3-1-2
disruption of food chains,ecosystem imbalance,request-3-1-3
ecosystem imbalance,loss of biodiversity,request-3-1-4
business overfishing,depletion of fish populations,request-3-2-0
depletion of fish populations,disruption of marine ecosystems,request-3-2-1
disruption of marine ecosystems,loss of marine biodiversity,request-3-2-2
loss of marine biodiversity,loss of biodiversity,request-3-2-3
business agricultural expansion,land clearing for crop cultivation,request-3-3-0
land clearing for crop cultivation,soil degradation,request-3-3-1
soil degradation,loss of plant species,request-3-3-2
loss of plant species,loss of biodiversity,request-3-3-3
business urban development,construction of buildings and infrastructure,request-3-4-0
