cause,effect,custom_id
cities' burden on distal resource suppliers,increased demand for resources from distant locations,request-1-0-0
increased demand for resources from distant locations,higher transportation emissions and energy consumption,request-1-0-1
higher transportation emissions and energy consumption,contribution to greenhouse gas emissions and climate change,request-1-0-2
contribution to greenhouse gas emissions and climate change,"exacerbation of environmental deficits in cities, such as air pollution and heat island effects",request-1-0-3
"exacerbation of environmental deficits in cities, such as air pollution and heat island effects",environmental deficits in cities <end>,request-1-0-4
cities' burden on distal resource suppliers,overexploitation of resources in distant locations,request-1-1-0
overexploitation of resources in distant locations,degradation of ecosystems and loss of biodiversity,request-1-1-1
degradation of ecosystems and loss of biodiversity,"reduced capacity of ecosystems to provide essential services, such as water filtration and carbon sequestration",request-1-1-2
"reduced capacity of ecosystems to provide essential services, such as water filtration and carbon sequestration",decreased resilience of cities to environmental changes and extreme events,request-1-1-3
decreased resilience of cities to environmental changes and extreme events,environmental deficits in cities <end>,request-1-1-4
cities' burden on distal resource suppliers,increased competition for resources between cities and local communities,request-1-2-0
increased competition for resources between cities and local communities,social conflicts and displacement of local populations,request-1-2-1
social conflicts and displacement of local populations,loss of traditional knowledge and practices for sustainable resource management,request-1-2-2
loss of traditional knowledge and practices for sustainable resource management,reduced capacity of cities to adapt to environmental changes and mitigate their impacts,request-1-2-3
reduced capacity of cities to adapt to environmental changes and mitigate their impacts,environmental deficits in cities <end>,request-1-2-4
cities' burden on distal resource suppliers,higher costs and risks associated with resource extraction and transportation,request-1-3-0
higher costs and risks associated with resource extraction and transportation,increased pressure on city budgets and infrastructure,request-1-3-1
increased pressure on city budgets and infrastructure,tradeoffs between environmental sustainability and economic development,request-1-3-2
tradeoffs between environmental sustainability and economic development,prioritization of shortterm economic gains over longterm environmental protection,request-1-3-3
prioritization of shortterm economic gains over longterm environmental protection,environmental deficits in cities <end>,request-1-3-4
cities' burden on distal resource suppliers,lack of transparency and accountability in resource supply chains,request-1-4-0
lack of transparency and accountability in resource supply chains,limited opportunities for public participation and oversight,request-1-4-1
limited opportunities for public participation and oversight,weak governance and enforcement of environmental regulations,request-1-4-2
weak governance and enforcement of environmental regulations,inadequate protection of ecosystems and communities affected by resource extraction and transportation,request-1-4-3
inadequate protection of ecosystems and communities affected by resource extraction and transportation,environmental deficits in cities <end>,request-1-4-4
business,emission of greenhouse gases,request-2-0-0
emission of greenhouse gases,increase in atmospheric greenhouse gas concentrations,request-2-0-1
increase in atmospheric greenhouse gas concentrations,enhanced greenhouse effect,request-2-0-2
enhanced greenhouse effect,global warming,request-2-0-3
global warming,climate change,request-2-0-4
business,deforestation for expansion,request-2-1-0
deforestation for expansion,reduced carbon sequestration,request-2-1-1
reduced carbon sequestration,increase in atmospheric carbon dioxide,request-2-1-2
increase in atmospheric carbon dioxide,enhanced greenhouse effect,request-2-1-3
enhanced greenhouse effect,global warming,request-2-1-4
global warming,climate change,request-2-1-5
business,energy consumption for operations,request-2-2-0
energy consumption for operations,dependence on fossil fuels,request-2-2-1
dependence on fossil fuels,emission of greenhouse gases,request-2-2-2
emission of greenhouse gases,increase in atmospheric greenhouse gas concentrations,request-2-2-3
increase in atmospheric greenhouse gas concentrations,enhanced greenhouse effect,request-2-2-4
enhanced greenhouse effect,global warming,request-2-2-5
global warming,climate change,request-2-2-6
business,production of goods,request-2-3-0
production of goods,generation of waste,request-2-3-1
generation of waste,methane emissions from landfills,request-2-3-2
methane emissions from landfills,increase in atmospheric methane concentrations,request-2-3-3
increase in atmospheric methane concentrations,enhanced greenhouse effect,request-2-3-4
enhanced greenhouse effect,global warming,request-2-3-5
global warming,climate change,request-2-3-6
business,transportation of goods,request-2-4-0
transportation of goods,emission of greenhouse gases,request-2-4-1
emission of greenhouse gases,increase in atmospheric greenhouse gas concentrations,request-2-4-2
increase in atmospheric greenhouse gas concentrations,enhanced greenhouse effect,request-2-4-3
enhanced greenhouse effect,global warming,request-2-4-4
global warming,climate change,request-2-4-5
business,consumer demand for products,request-2-5-0
consumer demand for products,resource extraction,request-2-5-1
resource extraction,deforestation and habitat destruction,request-2-5-2
deforestation and habitat destruction,loss of biodiversity,request-2-5-3
loss of biodiversity,disruption of ecosystems,request-2-5-4
disruption of ecosystems,reduced carbon sequestration,request-2-5-5
reduced carbon sequestration,increase in atmospheric carbon dioxide,request-2-5-6
increase in atmospheric carbon dioxide,enhanced greenhouse effect,request-2-5-7
enhanced greenhouse effect,global warming,request-2-5-8
global warming,climate change,request-2-5-9
business,expansion of industrial activities,request-3-0-0
expansion of industrial activities,deforestation,request-3-0-1
deforestation,habitat destruction,request-3-0-2
habitat destruction,loss of biodiversity,request-3-0-3
business,mining and resource extraction,request-3-1-0
mining and resource extraction,pollution of water and soil,request-3-1-1
pollution of water and soil,degradation of ecosystems,request-3-1-2
degradation of ecosystems,loss of biodiversity,request-3-1-3
business,agricultural practices,request-3-2-0
agricultural practices,use of pesticides and fertilizers,request-3-2-1
use of pesticides and fertilizers,water and soil pollution,request-3-2-2
water and soil pollution,loss of biodiversity,request-3-2-3
business,construction and infrastructure development,request-3-3-0
construction and infrastructure development,fragmentation of habitats,request-3-3-1
fragmentation of habitats,reduction in species populations,request-3-3-2
reduction in species populations,loss of biodiversity,request-3-3-3
business,tourism and recreation,request-3-4-0
tourism and recreation,disturbance of wildlife and habitats,request-3-4-1
disturbance of wildlife and habitats,disruption of ecosystems,request-3-4-2
disruption of ecosystems,loss of biodiversity,request-3-4-3
business,introduction of invasive species,request-3-5-0
introduction of invasive species,competition with native species,request-3-5-1
competition with native species,reduction in native species populations,request-3-5-2
reduction in native species populations,loss of biodiversity,request-3-5-3
business,climate change,request-3-6-0
climate change,alteration of ecosystems,request-3-6-1
alteration of ecosystems,shifts in species distributions,request-3-6-2
shifts in species distributions,loss of biodiversity,request-3-6-3
business,exploitation of resources,request-4-0-0
exploitation of resources,deforestation,request-4-0-1
deforestation,habitat loss,request-4-0-2
habitat loss,loss of biodiversity,request-4-0-3
loss of biodiversity,degradation of nature,request-4-0-4
business,industrialization,request-4-1-0
industrialization,pollution,request-4-1-1
pollution,climate change,request-4-1-2
climate change,natural disasters,request-4-1-3
natural disasters,degradation of nature,request-4-1-4
business,consumer demand,request-4-2-0
consumer demand,overproduction,request-4-2-1
overproduction,waste generation,request-4-2-2
waste generation,pollution,request-4-2-3
pollution,degradation of nature,request-4-2-4
business,urbanization,request-4-3-0
urbanization,habitat destruction,request-4-3-1
habitat destruction,loss of biodiversity,request-4-3-2
loss of biodiversity,degradation of nature,request-4-3-3
business,mining,request-4-4-0
mining,soil erosion,request-4-4-1
soil erosion,desertification,request-4-4-2
desertification,degradation of nature,request-4-4-3
business,agriculture,request-4-5-0
agriculture,pesticide use,request-4-5-1
pesticide use,water pollution,request-4-5-2
water pollution,loss of aquatic life,request-4-5-3
loss of aquatic life,degradation of nature,request-4-5-4
business,transportation,request-4-6-0
transportation,air pollution,request-4-6-1
air pollution,acid rain,request-4-6-2
acid rain,forest destruction,request-4-6-3
forest destruction,degradation of nature,request-4-6-4
business,energy production,request-4-7-0
energy production,greenhouse gas emissions,request-4-7-1
greenhouse gas emissions,global warming,request-4-7-2
global warming,melting of ice caps,request-4-7-3
melting of ice caps,degradation of nature,request-4-7-4
business,tourism,request-4-8-0
tourism,habitat destruction,request-4-8-1
habitat destruction,loss of biodiversity,request-4-8-2
loss of biodiversity,degradation of nature,request-4-8-3
business,construction,request-4-9-0
construction,habitat destruction,request-4-9-1
habitat destruction,loss of biodiversity,request-4-9-2
loss of biodiversity,degradation of nature,request-4-9-3
heat from gas emissions absorbed by oceans,increased ocean surface temperatures,request-5-0-0
increased ocean surface temperatures,changes in ocean density and salinity,request-5-0-1
changes in ocean density and salinity,disruption of thermohaline circulation,request-5-0-2
disruption of thermohaline circulation,slowing of ocean vertical mixing,request-5-0-3
heat from gas emissions absorbed by oceans,increased ocean surface temperatures,request-5-1-0
increased ocean surface temperatures,melting of polar ice caps,request-5-1-1
melting of polar ice caps,increased freshwater input into oceans,request-5-1-2
increased freshwater input into oceans,changes in ocean density and salinity,request-5-1-3
changes in ocean density and salinity,disruption of thermohaline circulation,request-5-1-4
disruption of thermohaline circulation,slowing of ocean vertical mixing,request-5-1-5
heat from gas emissions absorbed by oceans,increased ocean surface temperatures,request-5-2-0
increased ocean surface temperatures,changes in ocean currents,request-5-2-1
changes in ocean currents,alteration of upwelling and sinking patterns,request-5-2-2
alteration of upwelling and sinking patterns,slowing of ocean vertical mixing,request-5-2-3
heat from gas emissions absorbed by oceans,increased ocean surface temperatures,request-5-3-0
increased ocean surface temperatures,changes in ocean biology and chemistry,request-5-3-1
changes in ocean biology and chemistry,alteration of nutrient availability,request-5-3-2
alteration of nutrient availability,changes in phytoplankton and zooplankton populations,request-5-3-3
changes in phytoplankton and zooplankton populations,slowing of ocean vertical mixing,request-5-3-4
heat from gas emissions absorbed by oceans,increased ocean temperature,request-6-0-0
increased ocean temperature,decreased oxygen solubility in warmer water,request-6-0-1
decreased oxygen solubility in warmer water,reduced oxygen concentration in ocean water,request-6-0-2
reduced oxygen concentration in ocean water,ocean deoxygenation,request-6-0-3
heat from gas emissions absorbed by oceans,increased ocean temperature,request-6-1-0
increased ocean temperature,accelerated growth of oxygenconsuming microorganisms,request-6-1-1
accelerated growth of oxygenconsuming microorganisms,increased oxygen consumption in ocean water,request-6-1-2
increased oxygen consumption in ocean water,ocean deoxygenation,request-6-1-3
heat from gas emissions absorbed by oceans,increased ocean temperature,request-6-2-0
increased ocean temperature,changes in ocean circulation patterns,request-6-2-1
changes in ocean circulation patterns,reduced oxygen transport to deeper ocean layers,request-6-2-2
reduced oxygen transport to deeper ocean layers,ocean deoxygenation,request-6-2-3
heat from gas emissions absorbed by oceans,increased ocean temperature,request-6-3-0
increased ocean temperature,increased thermal stratification of ocean layers,request-6-3-1
increased thermal stratification of ocean layers,reduced vertical mixing of oxygenrich surface water with deeper layers,request-6-3-2
reduced vertical mixing of oxygenrich surface water with deeper layers,ocean deoxygenation,request-6-3-3
heat from gas emissions absorbed by oceans,increased ocean temperature,request-6-4-0
increased ocean temperature,melting of sea ice and ice sheets,request-6-4-1
melting of sea ice and ice sheets,changes in ocean salinity and density,request-6-4-2
changes in ocean salinity and density,alterations in ocean circulation patterns,request-6-4-3
alterations in ocean circulation patterns,reduced oxygen transport to deeper ocean layers,request-6-4-4
reduced oxygen transport to deeper ocean layers,ocean deoxygenation,request-6-4-5
fossil fuel combustion,release of co2 into the atmosphere,request-7-0-0
release of co2 into the atmosphere,increased atmospheric co2 concentration,request-7-0-1
increased atmospheric co2 concentration,atmospheric co2 dissolves in ocean water,request-7-0-2
atmospheric co2 dissolves in ocean water,formation of carbonic acid,request-7-0-3
formation of carbonic acid,increased ocean acidity,request-7-0-4
increased ocean acidity,ocean acidification,request-7-0-5
fossil fuel combustion,release of co2 into the atmosphere,request-7-1-0
release of co2 into the atmosphere,increased atmospheric co2 concentration,request-7-1-1
increased atmospheric co2 concentration,atmospheric co2 absorption by ocean,request-7-1-2
atmospheric co2 absorption by ocean,increased carbonic acid formation,request-7-1-3
increased carbonic acid formation,increased ocean acidity,request-7-1-4
increased ocean acidity,ocean acidification,request-7-1-5
fossil fuel combustion,release of co2 into the atmosphere,request-7-2-0
