cause,effect,custom_id
cities' burden on distal resource suppliers,overextraction of resources,request-1-0-0
overextraction of resources,depletion of supplier ecosystems,request-1-0-1
depletion of supplier ecosystems,reduced regenerative capacity of natural systems,request-1-0-2
reduced regenerative capacity of natural systems,increased reliance on synthetic alternatives,request-1-0-3
increased reliance on synthetic alternatives,accumulation of nonbiodegradable waste in cities,request-1-0-4
accumulation of nonbiodegradable waste in cities,environmental deficits in cities,request-1-0-5
cities' burden on distal resource suppliers,longdistance transportation networks,request-1-1-0
longdistance transportation networks,greenhouse gas emissions from freight,request-1-1-1
greenhouse gas emissions from freight,localized air quality deterioration,request-1-1-2
localized air quality deterioration,urban heat island intensification,request-1-1-3
urban heat island intensification,environmental deficits in cities,request-1-1-4
cities' burden on distal resource suppliers,displacement of indigenous land stewardship,request-1-2-0
displacement of indigenous land stewardship,unsustainable agricultural practices in supplier regions,request-1-2-1
unsustainable agricultural practices in supplier regions,soil erosion and water contamination,request-1-2-2
soil erosion and water contamination,disrupted nutrient cycles,request-1-2-3
disrupted nutrient cycles,degraded food quality imported to cities,request-1-2-4
degraded food quality imported to cities,organic waste mismanagement,request-1-2-5
organic waste mismanagement,environmental deficits in cities,request-1-2-6
cities' burden on distal resource suppliers,economic pressure on suppliers to prioritize quantity over sustainability,request-1-3-0
economic pressure on suppliers to prioritize quantity over sustainability,monoculture farming expansion,request-1-3-1
monoculture farming expansion,pollinator population collapse,request-1-3-2
pollinator population collapse,reduced urban green space biodiversity,request-1-3-3
reduced urban green space biodiversity,environmental deficits in cities,request-1-3-4
cities' burden on distal resource suppliers,deferred maintenance of local infrastructure,request-1-4-0
deferred maintenance of local infrastructure,inefficient energy/water systems in cities,request-1-4-1
inefficient energy/water systems in cities,resource leakage and overconsumption,request-1-4-2
resource leakage and overconsumption,environmental deficits in cities,request-1-4-3
cities' burden on distal resource suppliers,normalization of disposable packaging,request-1-5-0
normalization of disposable packaging,microplastic infiltration into urban waterways,request-1-5-1
microplastic infiltration into urban waterways,aquatic ecosystem disruption,request-1-5-2
aquatic ecosystem disruption,impaired water purification services,request-1-5-3
impaired water purification services,environmental deficits in cities,request-1-5-4
business,industrial production,request-2-0-0
industrial production,fossil fuel combustion,request-2-0-1
fossil fuel combustion,carbon dioxide emissions,request-2-0-2
carbon dioxide emissions,enhanced greenhouse effect,request-2-0-3
enhanced greenhouse effect,global warming,request-2-0-4
global warming,climate change,request-2-0-5
business,deforestation practices,request-2-1-0
deforestation practices,reduced carbon sequestration,request-2-1-1
reduced carbon sequestration,atmospheric co2 accumulation,request-2-1-2
atmospheric co2 accumulation,temperature rise,request-2-1-3
temperature rise,climate change,request-2-1-4
business,transportation networks,request-2-2-0
transportation networks,vehicle emissions,request-2-2-1
vehicle emissions,greenhouse gas release,request-2-2-2
greenhouse gas release,atmospheric warming,request-2-2-3
atmospheric warming,climate change,request-2-2-4
business,waste generation,request-2-3-0
waste generation,landfill decomposition,request-2-3-1
landfill decomposition,methane emissions,request-2-3-2
methane emissions,radiative forcing,request-2-3-3
radiative forcing,climate change,request-2-3-4
business,refrigerant usage,request-2-4-0
refrigerant usage,hfc leakage,request-2-4-1
hfc leakage,high global warming potential gases,request-2-4-2
high global warming potential gases,ozone layer impact,request-2-4-3
ozone layer impact,climate change,request-2-4-4
business,resource extraction,request-2-5-0
resource extraction,methane venting,request-2-5-1
methane venting,atmospheric pollution,request-2-5-2
atmospheric pollution,altered heat retention,request-2-5-3
altered heat retention,climate change,request-2-5-4
business,energy consumption,request-2-6-0
energy consumption,coal power reliance,request-2-6-1
coal power reliance,particulate and co2 output,request-2-6-2
particulate and co2 output,thermal imbalance,request-2-6-3
thermal imbalance,climate change,request-2-6-4
business expansion,deforestation,request-3-0-0
deforestation,habitat destruction,request-3-0-1
habitat destruction,species displacement,request-3-0-2
species displacement,population decline,request-3-0-3
population decline,loss of biodiversity,request-3-0-4
industrial pollution,ecosystem contamination,request-3-1-0
ecosystem contamination,toxic accumulation,request-3-1-1
toxic accumulation,species mortality,request-3-1-2
species mortality,loss of biodiversity,request-3-1-3
resource extraction,habitat fragmentation,request-3-2-0
habitat fragmentation,reduced genetic diversity,request-3-2-1
reduced genetic diversity,increased extinction risk,request-3-2-2
increased extinction risk,loss of biodiversity,request-3-2-3
carbon emissions,global warming,request-3-3-0
global warming,altered ecosystems,request-3-3-1
altered ecosystems,biodiversity depletion,request-3-3-2
biodiversity depletion,loss of biodiversity,request-3-3-3
overharvesting,resource depletion,request-3-4-0
resource depletion,ecosystem imbalance,request-3-4-1
ecosystem imbalance,loss of biodiversity,request-3-4-2
invasive species introduction,native species decline,request-3-5-0
native species decline,loss of biodiversity,request-3-5-1
business,resource extraction,request-4-0-0
resource extraction,habitat destruction,request-4-0-1
habitat destruction,biodiversity loss,request-4-0-2
biodiversity loss,degradation of nature,request-4-0-3
business,industrial emissions,request-4-1-0
industrial emissions,air pollution,request-4-1-1
air pollution,climate change,request-4-1-2
climate change,ecosystem disruption,request-4-1-3
ecosystem disruption,degradation of nature,request-4-1-4
business,waste production,request-4-2-0
waste production,plastic pollution,request-4-2-1
plastic pollution,marine toxicity,request-4-2-2
marine toxicity,coral reef collapse,request-4-2-3
coral reef collapse,degradation of nature,request-4-2-4
business,deforestation,request-4-3-0
deforestation,soil erosion,request-4-3-1
soil erosion,desertification,request-4-3-2
desertification,loss of arable land,request-4-3-3
loss of arable land,degradation of nature,request-4-3-4
business,overfishing,request-4-4-0
overfishing,marine population decline,request-4-4-1
marine population decline,food web collapse,request-4-4-2
food web collapse,oceanic dead zones,request-4-4-3
oceanic dead zones,degradation of nature,request-4-4-4
business,chemical runoff,request-4-5-0
chemical runoff,water contamination,request-4-5-1
water contamination,aquatic species extinction,request-4-5-2
aquatic species extinction,freshwater ecosystem collapse,request-4-5-3
freshwater ecosystem collapse,degradation of nature,request-4-5-4
business,fossil fuel consumption,request-4-6-0
fossil fuel consumption,greenhouse gas accumulation,request-4-6-1
greenhouse gas accumulation,global warming,request-4-6-2
