custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-1-0-0,companies and corporations,fossil fuel extraction,yes,yes
request-1-0-1,fossil fuel extraction,co2 emissions,yes,no
request-1-0-2,co2 emissions,global warming,yes,no
request-1-0-3,global warming,the climate,yes,no
request-1-1-0,companies and corporations,deforestation,yes,no
request-1-1-1,deforestation,reduced carbon absorption,yes,no
request-1-1-2,reduced carbon absorption,increased atmospheric co2,yes,no
request-1-1-3,increased atmospheric co2,the climate,no,no
request-1-2-0,companies and corporations,industrial processes,yes,yes
request-1-2-1,industrial processes,greenhouse gas emissions,yes,no
request-1-2-2,greenhouse gas emissions,enhanced greenhouse effect,yes,no
request-1-2-3,enhanced greenhouse effect,the climate,no,yes
request-1-3-0,companies and corporations,energy consumption,yes,no
request-1-3-1,energy consumption,fossil fuel combustion,yes,yes
request-1-3-2,fossil fuel combustion,greenhouse gas emissions,yes,yes
request-1-3-3,greenhouse gas emissions,the climate,no,no
request-1-4-0,companies and corporations,agricultural practices,yes,no
request-1-4-1,agricultural practices,methane emissions,yes,yes
request-1-4-2,methane emissions,enhanced greenhouse effect,yes,no
request-1-4-3,enhanced greenhouse effect,the climate,no,yes
request-1-5-0,companies and corporations,industrial waste,yes,yes
request-1-5-1,industrial waste,ocean pollution,yes,no
request-1-5-2,ocean pollution,disruption of marine life,yes,yes
request-1-5-3,disruption of marine life,the climate,no,yes
request-1-6-0,companies and corporations,aerosol emissions,yes,no
request-1-6-1,aerosol emissions,atmospheric aerosol concentration,yes,no
request-1-6-2,atmospheric aerosol concentration,altered cloud formation,yes,yes
request-1-6-3,altered cloud formation,the climate,no,yes
request-1-7-0,companies and corporations,land use changes,yes,no
request-1-7-1,land use changes,decreased albedo,yes,no
request-1-7-2,decreased albedo,increased heat absorption,yes,no
request-1-7-3,increased heat absorption,the climate,no,yes
request-1-8-0,companies and corporations,black carbon emissions,yes,no
request-1-8-1,black carbon emissions,atmospheric warming,yes,no
request-1-8-2,atmospheric warming,global temperature rise,yes,yes
request-1-8-3,global temperature rise,the climate,no,no
request-1-9-0,companies and corporations,refrigerant leakage,yes,no
request-1-9-1,refrigerant leakage,release of hfcs,yes,yes
request-1-9-2,release of hfcs,potent greenhouse gas emissions,yes,no
request-1-9-3,potent greenhouse gas emissions,the climate,no,yes
request-2-0-0,buying from companies that mess the climate,increasing revenue of climatedamaging companies,yes,no
request-2-0-1,increasing revenue of climatedamaging companies,financial sustainability of climatedamaging companies,yes,no
request-2-0-2,financial sustainability of climatedamaging companies,continuation of climatedamaging operations,yes,no
request-2-0-3,continuation of climatedamaging operations,keeping of climatedamaging companies,yes,yes
request-2-1-0,buying from companies that mess the climate,reinforcing harmful business practices,yes,yes
request-2-1-1,reinforcing harmful business practices,lack of incentive to adopt green technologies,yes,yes
request-2-1-2,lack of incentive to adopt green technologies,persistence of environmental damage,yes,no
request-2-1-3,persistence of environmental damage,keeping of climatedamaging companies,yes,yes
request-2-2-0,buying from companies that mess the climate,boosting demand for climatedamaging products,yes,yes
request-2-2-1,boosting demand for climatedamaging products,expansion of harmful industries,yes,yes
request-2-2-2,expansion of harmful industries,greater environmental impact,yes,no
request-2-2-3,greater environmental impact,keeping of climatedamaging companies,no,yes
request-2-3-0,buying from companies that mess the climate,supporting the market presence of harmful companies,yes,yes
